,test_loss,test_accuracy,test_auc,keywords,number_of_layers,number_of_neurons,activation
0,0.5645564198493958,0.7071200013160706,0.7794230580329895,100,2,256,sigmoid
1,0.5683259963989258,0.7041199803352356,0.7762519717216492,100,1,128,relu
2,0.6618104577064514,0.6014400124549866,0.6429990530014038,50,1,256,sigmoid
3,0.5658568143844604,0.7059599757194519,0.7778127193450928,100,1,64,sigmoid
4,0.5693575739860535,0.7034800052642822,0.7758629322052002,100,2,128,relu
5,0.5648096799850464,0.7053999900817871,0.778424859046936,100,1,128,sigmoid
6,0.6781476736068726,0.5735599994659424,0.6013779044151306,25,2,64,sigmoid
7,0.5665425062179565,0.7063999772071838,0.7771123647689819,100,1,64,relu
8,0.6607145071029663,0.6054400205612183,0.6459900736808777,50,1,256,relu
9,0.567998468875885,0.7052800059318542,0.7772035598754883,100,2,256,relu
10,0.66307133436203,0.6015200018882751,0.6406692862510681,50,2,64,relu
11,0.5660015344619751,0.7062000036239624,0.7786802053451538,100,2,128,sigmoid
12,0.678240954875946,0.575760006904602,0.6017229557037354,25,1,64,relu
13,0.6767311692237854,0.5770800113677979,0.6048084497451782,25,2,128,relu
14,0.6614310145378113,0.6020799875259399,0.6429029703140259,50,2,256,sigmoid
15,0.5778015851974487,0.703760027885437,0.7721894979476929,100,2,64,relu
16,0.6786248683929443,0.5725200176239014,0.5993840098381042,25,1,128,sigmoid
17,0.6756721138954163,0.5807999968528748,0.6071470379829407,25,2,256,relu
18,0.6623427867889404,0.6050800085067749,0.6449049711227417,50,2,256,relu
19,0.6774405241012573,0.5760800242424011,0.603348970413208,25,1,128,relu
20,0.6614898443222046,0.6014400124549866,0.6425498127937317,50,1,64,sigmoid
21,0.6758705377578735,0.581279993057251,0.6070759892463684,25,1,256,relu
22,0.5677803754806519,0.7064399719238281,0.7783811688423157,100,2,64,sigmoid
23,0.6773381233215332,0.5735599994659424,0.602104127407074,25,2,64,relu
24,0.5639331340789795,0.707040011882782,0.7792363166809082,100,1,256,sigmoid
25,0.6778282523155212,0.577239990234375,0.6015584468841553,25,2,256,sigmoid
26,0.6633424162864685,0.6010400056838989,0.6409783363342285,50,2,64,sigmoid
27,0.6625904440879822,0.6018400192260742,0.6419637799263,50,2,128,relu
28,0.6781228184700012,0.5760800242424011,0.600896954536438,25,2,128,sigmoid
29,0.6781007051467896,0.5738800168037415,0.601212739944458,25,1,64,sigmoid
30,0.6619085669517517,0.6001999974250793,0.6415768265724182,50,1,128,sigmoid
31,0.663196861743927,0.6002799868583679,0.6392080783843994,50,1,64,relu
32,0.6775885224342346,0.5797600150108337,0.6032459139823914,25,1,256,sigmoid
33,0.6609734296798706,0.6035199761390686,0.6456541419029236,50,1,128,relu
34,0.576102614402771,0.6960800290107727,0.7772161960601807,100,1,256,relu
35,0.6617759466171265,0.6008399724960327,0.6425583362579346,50,2,128,sigmoid
