,test_loss,test_rmse,test_mae,keywords,number_of_layers,number_of_neurons,activation
0,0.23880794644355774,0.48867979645729065,0.46691325306892395,50,1,128,relu
1,0.24231448769569397,0.49225449562072754,0.48465782403945923,25,1,128,sigmoid
2,0.24944466352462769,0.4994443655014038,0.49312424659729004,15,1,128,relu
3,0.2477228194475174,0.49771761894226074,0.4969792664051056,25,2,128,sigmoid
4,0.23656681180000305,0.48638132214546204,0.46293389797210693,50,2,256,relu
5,0.23581038415431976,0.48560312390327454,0.4626064598560333,50,1,256,relu
6,0.24748530983924866,0.4974789619445801,0.4942910671234131,15,1,256,sigmoid
7,0.24736811220645905,0.4973611533641815,0.49252617359161377,15,1,256,relu
8,0.23456396162509918,0.4843180179595947,0.46685484051704407,50,1,256,sigmoid
9,0.2423616349697113,0.49230238795280457,0.4818180203437805,25,1,256,relu
10,0.24760951101779938,0.49760377407073975,0.4930236339569092,15,2,128,relu
11,0.24842014908790588,0.4984176456928253,0.4958631694316864,15,1,128,sigmoid
12,0.2495960295200348,0.49959585070610046,0.4956205487251282,15,2,256,sigmoid
13,0.2474949210882187,0.4974886178970337,0.4930861294269562,15,2,256,relu
14,0.24446897208690643,0.4944380223751068,0.4824216365814209,25,1,128,relu
15,0.24627742171287537,0.49626344442367554,0.49557727575302124,50,2,128,sigmoid
16,0.24311967194080353,0.49307167530059814,0.48472848534584045,25,1,256,sigmoid
17,0.23813024163246155,0.48798590898513794,0.47153836488723755,50,1,128,sigmoid
18,0.23572951555252075,0.4855198264122009,0.4679267704486847,50,2,256,sigmoid
19,0.24249061942100525,0.4924333691596985,0.4819374084472656,25,2,256,relu
20,0.23673775792121887,0.4865570366382599,0.4642786681652069,50,2,128,relu
21,0.2478438913822174,0.49783921241760254,0.4954521358013153,15,2,128,sigmoid
22,0.24272121489048004,0.49266743659973145,0.4857248365879059,25,2,256,sigmoid
23,0.24250972270965576,0.4924527704715729,0.48291656374931335,25,2,128,relu
